# Sxx,Syy,Sxy, Smises
8.995673415225096115e-01,5.004862215718155344e-02,-1.329950613705613294e-02,8.759193976179407981e-01
1.326093762178217478e-02,5.561265396346941614e-01,-4.471760257951241935e-03,5.496706387648592207e-01
5.070812274207782133e-01,2.277922269733874683e-01,6.290293817612141371e-05,4.398994427046019617e-01
3.587464461665287874e-01,2.895327233782182819e-01,2.366241736511376077e-05,3.296352175705738463e-01
1.632711294839772065e-01,4.324861026373535422e-01,4.487919681444381328e-05,3.782713341982498756e-01
9.081279731235807340e-01,3.697540946176064436e-02,-6.737397092985432379e-02,8.978323611348920652e-01
8.692936988985788815e-01,4.924264214283521901e-02,-1.108168826295040377e-01,8.672549790259264091e-01
8.519798964121563234e-01,7.334882631691799770e-02,-1.613535394422434821e-01,8.642123366607976642e-01
8.070859117558562001e-01,9.161484448992052165e-02,-2.055780855244513372e-01,8.441723438575037264e-01
7.607896927180723967e-01,1.205303235697428865e-01,-2.438222666800353988e-01,8.246078951847491956e-01
6.969669034239168726e-01,1.470149681369054551e-01,-2.716343143661270609e-01,7.913705203308636360e-01
6.534907351542591503e-01,1.747372882226584379e-01,-2.930093228071461997e-01,7.752144552600157557e-01
5.963247727976872525e-01,2.061969581885650382e-01,-3.113731339322685643e-01,7.523428417812368929e-01
5.300799190554618123e-01,2.296206472385208530e-01,-3.211678089945216308e-01,7.221075769755146423e-01
4.775214668823927200e-01,2.604975816758871576e-01,-3.240407571193295033e-01,6.974953698016331805e-01
4.239779671874003841e-01,2.886684435757332357e-01,-3.230616979372694098e-01,6.736499900547323616e-01
3.734073435849536993e-01,3.038306054513422172e-01,-3.137996770134278135e-01,6.431984247896614937e-01
3.312645030102919219e-01,3.278826109987442727e-01,-3.066315644697324982e-01,6.250568425025525565e-01
2.927167088526830829e-01,3.524621272198978916e-01,-2.996393252999864920e-01,6.132636013082719550e-01
2.559015398678246012e-01,3.735169024617384093e-01,-2.874899061801732270e-01,5.978028625652198613e-01
2.212049395127778650e-01,3.867555608301141978e-01,-2.728871693334760096e-01,5.799667837201745169e-01
1.900812418962752048e-01,4.036635090903434864e-01,-2.585254271738194332e-01,5.682010519719904451e-01
1.637209660987124782e-01,4.195750027064618637e-01,-2.454776893899911494e-01,5.611883826374155504e-01
1.426659977490012943e-01,4.387617504736212592e-01,-2.298339153360199616e-01,5.556437380219731992e-01
1.215342662963604242e-01,4.530483166788915050e-01,-2.140765555039156887e-01,5.499534300417308064e-01
1.026669953319199469e-01,4.638740805466726735e-01,-1.982469337133957454e-01,5.440594238240085145e-01
8.748668893217728670e-02,4.793660703822719693e-01,-1.828663394478179383e-01,5.439006289746469713e-01
7.142578367888334501e-02,4.917129976062269980e-01,-1.658288297453866245e-01,5.424573077340737459e-01
