# Sxx,Syy,Sxy, Smises
1.081874771035118199e+00,5.886596831627318588e-02,-2.909569198640486742e-02,1.054880227471667320e+00
8.166435811009651463e-03,4.710098181709118648e-01,-3.225100563752508927e-03,4.670135671067187078e-01
5.256264035797242329e-01,2.617410830448816950e-01,1.093048760993420895e-04,4.552071203160024115e-01
3.466763182863107917e-01,2.765275034778174046e-01,3.237349213679444786e-05,3.174687325922980197e-01
1.312987615585151646e-01,4.149135509009798661e-01,6.718414977634597435e-06,3.673077514242335528e-01
1.064790130010653035e+00,6.308195964322924065e-02,-1.121235113354622226e-01,1.052759873842688432e+00
9.715175017048249817e-01,8.772417122817828539e-02,-1.748218029787083350e-01,9.787768934010999677e-01
9.340071864890976405e-01,1.336578757849982146e-01,-2.445026842885958118e-01,9.719779439532405529e-01
8.396981412812046797e-01,1.672185971031982243e-01,-2.964555572518337567e-01,9.253645631801292737e-01
7.670933008057941871e-01,2.046419063420200080e-01,-3.287656957610128883e-01,8.930798702697330116e-01
6.797338227821325685e-01,2.539647389432159175e-01,-3.553905894165830248e-01,8.560462304948066592e-01
5.699513795712597419e-01,2.760460132686547996e-01,-3.559868971841207430e-01,7.898690925269944429e-01
5.001376460095350307e-01,3.011627076632230060e-01,-3.509515417669359372e-01,7.481408876489968884e-01
4.263770900529244012e-01,3.302377613104262588e-01,-3.419911189049322786e-01,7.077586894229787040e-01
3.600017322806545739e-01,3.465113335166765118e-01,-3.285247699022507684e-01,6.698598692992995263e-01
3.037537185703895748e-01,3.616775364339437915e-01,-3.087136558504285921e-01,6.317661190794333637e-01
2.566650141532341167e-01,3.747248208242730527e-01,-2.897185430384023874e-01,6.016039992657271629e-01
2.193226188097750495e-01,3.835978852204780520e-01,-2.707493052619336926e-01,5.753552075111630915e-01
1.890571779961898458e-01,3.867787171599818552e-01,-2.505306631770400361e-01,5.481915170816984428e-01
1.637548504851669695e-01,4.001309622612826966e-01,-2.345992529758089140e-01,5.352639354639913138e-01
1.327165674698631281e-01,4.035287405558902196e-01,-2.161212873998540895e-01,5.167392137390987017e-01
1.125422097073631028e-01,4.084023703450438414e-01,-2.001413755191464028e-01,5.036521125191457671e-01
9.611168303584849415e-02,4.147982831119874092e-01,-1.841895220626336704e-01,4.931586461691071510e-01
8.120724667465469004e-02,4.205219566191735758e-01,-1.698348708902230331e-01,4.856084356340104602e-01
6.928700160803857866e-02,4.247151748084000422e-01,-1.553445635899270705e-01,4.776528316835239041e-01
5.970922474624867915e-02,4.299117531477463228e-01,-1.424200979776820697e-01,4.728319600540258905e-01
4.915240457439672139e-02,4.332846469329808547e-01,-1.300830155669227550e-01,4.686356097207203808e-01
4.160947325508781297e-02,4.393174942730143084e-01,-1.181981278218566384e-01,4.672941597882607212e-01
3.386488805396163648e-02,4.436576217054362670e-01,-1.055839084354446566e-01,4.651863985634177578e-01
2.829265191002310748e-02,4.497113566167186272e-01,-9.319087123616492940e-02,4.651568197873449662e-01
2.291783795344152705e-02,4.538223039346138132e-01,-8.262590010711885757e-02,4.653605085622167792e-01
1.971715284891677883e-02,4.603961063956461541e-01,-7.157902146963344980e-02,4.675963103399558563e-01
1.525135946409432453e-02,4.664578260263242959e-01,-5.841553498775831077e-02,4.700409722894997033e-01
1.220116396019083928e-02,4.658998979224144854e-01,-4.568433320523820895e-02,4.666778729956391203e-01
1.119611603821130466e-02,4.670020138071864224e-01,-3.430352474530726919e-02,4.653147543410811604e-01
8.496130305575735897e-03,4.688185762923222089e-01,-2.349051053033757858e-02,4.664068076775926830e-01
6.530627554603350010e-03,4.723990269378308682e-01,-1.278985044504149168e-02,4.696905028518226222e-01
5.272545183895078758e-01,2.620494491528223557e-01,1.180870285353838637e-04,4.566185790019732238e-01
