# Sxx,Syy,Sxy, Smises
5.570188498761590168e-01,9.344292832362394857e-03,-3.229143924236541757e-03,5.524342945463810439e-01
8.238300549894443658e-02,9.558025101142822999e-01,-2.020442704465567896e-02,9.180567363217593257e-01
4.625211689343500798e-01,1.252169507798162329e-01,2.011056769265225465e-05,4.143544705239968207e-01
3.430143777762182933e-01,2.881590722705887342e-01,1.985607126451151164e-05,3.191423046234625471e-01
2.621223036433794062e-01,4.864160628729988778e-01,8.674007555393135633e-05,4.216731102765386985e-01
5.601551304515870466e-01,7.309743106267805809e-03,-1.398510614537987196e-02,5.570631579937302957e-01
5.537611492242249245e-01,8.273019790488281983e-03,-2.411971988779755202e-02,5.512566180666224058e-01
5.548601384976039608e-01,1.107090384593787703e-02,-3.583729349868574471e-02,5.529036713390753643e-01
5.513781078755899401e-01,1.231835522399765508e-02,-4.799264694666102726e-02,5.516224893957675235e-01
5.472000958531522130e-01,1.493682584035646403e-02,-6.011453232624491133e-02,5.498353318282743762e-01
5.424504396155578334e-01,1.805185567938239963e-02,-7.204514866737653234e-02,5.480489232020593349e-01
5.367830823664834217e-01,2.185726321482341777e-02,-8.395288414448066894e-02,5.459170895090996734e-01
5.311296551116360121e-01,2.613966699657433237e-02,-9.617631115448180279e-02,5.446541002277728305e-01
5.247833123200809080e-01,3.227984017907468972e-02,-1.084474084615078271e-01,5.429384060161298597e-01
5.153689235617041620e-01,3.737409819331311001e-02,-1.196020985988695551e-01,5.391238149086877707e-01
5.102333659190946280e-01,4.426252226112559196e-02,-1.306498199025921125e-01,5.393710867097175621e-01
5.033365225821415656e-01,5.229921822635275053e-02,-1.435717487032013295e-01,5.399974978029425943e-01
4.926475799383366327e-01,5.951263443019678967e-02,-1.562831478001854013e-01,5.387001978903799282e-01
4.829679118299185503e-01,6.952034174896433438e-02,-1.684433575962319407e-01,5.381769984353859115e-01
4.724085185147643418e-01,8.017919687909107196e-02,-1.800498157998649817e-01,5.375639356140172742e-01
4.665058269100575417e-01,9.655603126268418046e-02,-1.948686927895534604e-01,5.439009328870592075e-01
4.527630168981805481e-01,1.097111208685594419e-01,-2.069126104879905614e-01,5.438715166085760222e-01
4.457708186234088377e-01,1.269135752032879982e-01,-2.204458207621696197e-01,5.513922285168619819e-01
4.338692396223882697e-01,1.470891599692381035e-01,-2.360756500609411668e-01,5.596922491275935219e-01
4.198299674743198318e-01,1.675504057482941622e-01,-2.494461952356403223e-01,5.662666082446523586e-01
4.088473381894738301e-01,1.972747175601990421e-01,-2.656843448571969413e-01,5.806743754231803445e-01
3.918943677664086245e-01,2.287090221589273553e-01,-2.805532542136273122e-01,5.936241403548613293e-01
3.774777675150515766e-01,2.663765516435738223e-01,-2.961211357619445983e-01,6.131540486172515347e-01
3.587912653386520767e-01,3.102627225775128617e-01,-3.097733771164931649e-01,6.336822624896423228e-01
3.351008603814685238e-01,3.615152369730026960e-01,-3.220043339016545603e-01,6.579530069812947746e-01
3.119211493433278193e-01,4.246643164940942516e-01,-3.339238490689315220e-01,6.925952745696103419e-01
2.882094947540910779e-01,5.069063631125267921e-01,-3.403978258158478210e-01,7.358910153620242811e-01
2.493417970062386524e-01,5.849077924533089279e-01,-3.316679192745346505e-01,7.671097205624114457e-01
2.126175298201967712e-01,6.570025477668340885e-01,-3.147052194020988902e-01,7.964210119804492338e-01
1.728855289661516692e-01,7.544474173404156492e-01,-2.860970712040700192e-01,8.451046522698385521e-01
1.322003084960237662e-01,8.417448364055305499e-01,-2.362530760445698541e-01,8.844087923328414202e-01
8.849354258715776134e-02,8.914142038179548866e-01,-1.685891791371745274e-01,8.993513901729962567e-01
6.498100542660426027e-02,9.585324296785342479e-01,-1.048379629431859111e-01,9.453536609224084675e-01
4.626964257618930154e-01,1.251481880883884845e-01,-8.020956811511439086e-05,4.145412541307410548e-01
4.633191217860838651e-01,1.249670587825739004e-01,-1.313515804259048590e-04,4.151888705466179608e-01
4.633387576901546456e-01,1.232978078240334757e-01,-2.845047761910647491e-04,4.156401610983520012e-01
4.650068412992975908e-01,1.231452033498036391e-01,-2.647329296415847945e-04,4.172924056137792270e-01
4.648536887601585899e-01,1.203847375086828375e-01,-4.203985517845950075e-04,4.178763906736694400e-01
4.673024136864855627e-01,1.200117230575450111e-01,-4.018286814650206596e-04,4.203487552638393021e-01
4.681787958811678974e-01,1.167191759469729112e-01,-5.118683734464886436e-04,4.221019944552263925e-01
4.700119003415104690e-01,1.142585818027810202e-01,-5.033771898933609660e-04,4.245751723553269907e-01
4.718682451265821531e-01,1.111851369540579615e-01,-5.982584158777508061e-04,4.272681988155206945e-01
4.743651922544612209e-01,1.080431421068432096e-01,-5.942271431725488096e-04,4.306330335904756668e-01
4.772167462254109371e-01,1.047734464993580611e-01,-6.841749546906881162e-04,4.344134655212498752e-01
4.780240410240742532e-01,9.810236078088152567e-02,-8.306318024513086040e-04,4.373074889604146032e-01
4.839588255162295960e-01,9.750180608024255902e-02,-9.022202061271787123e-04,4.433264366486091568e-01
4.855973237648705809e-01,9.014976676009540946e-02,-1.074067080435784066e-03,4.473910109490962794e-01
4.895305860809071596e-01,8.505343336427252654e-02,-1.073884434043734324e-03,4.530358527049426764e-01
4.934230301694569332e-01,7.913410296843137459e-02,-1.301108115136408692e-03,4.590065170831277852e-01
4.991254984161468400e-01,7.317819038830522538e-02,-1.056299867307453413e-03,4.668613897883915898e-01
5.013470903563467251e-01,6.340367432148755200e-02,-1.718958150211266850e-03,4.728536218943738545e-01
5.086689570820522865e-01,6.016705905686051126e-02,-1.557635728077794591e-03,4.814211736105207251e-01
5.147362710699834309e-01,5.248848785793958777e-02,-1.769794902806318517e-03,4.906120036449787003e-01
5.166903876914320515e-01,3.822089132047989252e-02,-1.809204143272864947e-03,4.986895284349367463e-01
5.294759419639080145e-01,3.622601163239809463e-02,-1.903355447231582084e-03,5.123350111895286219e-01
5.341987951734910034e-01,2.142695326930833810e-02,-2.362740631482810813e-03,5.238300889605199684e-01
5.394985852640183932e-01,8.699554268990557226e-03,-2.301375961789394256e-03,5.352166827741461352e-01
3.429959937332939801e-01,2.876275469522699968e-01,-4.813816098449640968e-05,3.189369344286644981e-01
3.435719524105807499e-01,2.868476279813768626e-01,-1.042526439822745877e-04,3.190148604339561045e-01
