# Sxx,Syy,Sxy, Smises
6.156489116068706302e-01,1.377863456265866933e-02,-3.954626468290469918e-03,6.089150589143917935e-01
5.032612879097456832e-02,8.496836962915721436e-01,-1.208354696129187306e-02,8.259369516937297151e-01
4.738170174262295031e-01,1.468533375608837843e-01,4.272022186627881871e-05,4.201033965922265079e-01
3.510071089187120075e-01,2.962442202170192940e-01,3.169494848741364918e-05,3.270822591717830741e-01
2.411973939658678678e-01,4.708282540984906617e-01,1.439892697533388813e-05,4.077902407381653882e-01
6.177092881921772971e-01,9.835592292340954168e-03,-1.926330262815700162e-02,6.137582515658823734e-01
6.118678440429087262e-01,1.252257061792554430e-02,-3.360685491881819364e-02,6.084941882675105607e-01
6.105422678877872045e-01,1.641212358901390084e-02,-4.994136709304509980e-02,6.086816441808798883e-01
6.024914986593935540e-01,1.837824941504339130e-02,-6.668179991122445693e-02,6.046490009036644686e-01
5.973790978870742174e-01,2.359108773732896541e-02,-8.341751879580105999e-02,6.034906383933789087e-01
5.918024529760406161e-01,3.057071981806283589e-02,-1.005602183919670628e-01,6.028349341653987947e-01
5.821148283404105062e-01,3.637896188858770474e-02,-1.166766669185021060e-01,5.998705717873920040e-01
5.692475288727615323e-01,4.268839283314707772e-02,-1.301701448599778543e-01,5.936308497014005647e-01
5.594840426395568667e-01,5.246138188913835460e-02,-1.465514425723099812e-01,5.923303643207074032e-01
5.462847112324118459e-01,6.153289164519111509e-02,-1.614369346766410807e-01,5.888840770221080989e-01
5.328073223481764042e-01,7.338048116007592214e-02,-1.765626157567887489e-01,5.862539995021230910e-01
5.190377995280640588e-01,8.521483085260753154e-02,-1.902776889342098765e-01,5.839939067847467191e-01
5.040619756341898627e-01,9.929147409541315417e-02,-2.047840202189951109e-01,5.828359120054967812e-01
4.878024402112774993e-01,1.148503755741373256e-01,-2.184700066967703580e-01,5.816398950034394888e-01
4.703373937267946170e-01,1.321041265542188536e-01,-2.323900855632988760e-01,5.818511057054485125e-01
4.535185084450030768e-01,1.528748947178879547e-01,-2.446162286472783054e-01,5.824340946913176831e-01
4.308818838750632652e-01,1.696889453480768806e-01,-2.547967631302331393e-01,5.797428870504980347e-01
4.262842954255934291e-01,2.021520711822601957e-01,-2.725201912059136422e-01,5.993423654487818331e-01
3.986367004745221543e-01,2.338176872810029117e-01,-2.849901808397533598e-01,6.033505017861460207e-01
3.729289483217989587e-01,2.566569088025578704e-01,-2.905728168665074329e-01,6.021060238516439123e-01
3.566476794210740042e-01,3.044308364888153040e-01,-3.042918309613889538e-01,6.237641423112328942e-01
3.257037828370050736e-01,3.363161996721442670e-01,-3.086406898910009633e-01,6.288317010320366718e-01
3.059984152654448009e-01,3.811185628177817253e-01,-3.155649115516789283e-01,6.488515647100088213e-01
2.743529324581031048e-01,4.344747539515044776e-01,-3.178074451877388462e-01,6.692108316474305596e-01
2.450276578464579691e-01,4.837968464458412554e-01,-3.153089854584759655e-01,6.883411962937385775e-01
2.169722582771083097e-01,5.542801533958701121e-01,-3.102912710303761257e-01,7.231058368889526911e-01
1.809713961744591482e-01,6.183088061197397067e-01,-2.876547022472283888e-01,7.425603687397567265e-01
1.458740007142122763e-01,6.735304085876561153e-01,-2.573070921683760504e-01,7.584805067460211880e-01
1.183342935636083892e-01,7.210359590858330670e-01,-2.259685315442928888e-01,7.757305654803714479e-01
9.181823434982105958e-02,7.827375268146066212e-01,-1.840459807096674616e-01,8.067575939634239468e-01
6.243015993383653484e-02,8.196817021680886661e-01,-1.301233859566018336e-01,8.218266512445181471e-01
4.307231374417004599e-02,8.546792803033841368e-01,-7.343610257529285812e-02,8.436216366142258449e-01
4.742175069577218016e-01,1.469494206011748572e-01,-5.287277890271877652e-05,4.204645010229036139e-01
4.743661450816106240e-01,1.459012350582739592e-01,-1.222046467645811793e-04,4.208323280783037856e-01
4.758335530151381332e-01,1.455934277867431681e-01,-3.187027192166944729e-04,4.222997549899296654e-01
