# Sxx,Syy,Sxy, Smises
4.418307112666650105e-01,3.919928326941596666e-03,-1.474241801602097033e-03,4.398912578153347241e-01
1.786403967524742009e-01,1.304986168390394274e+00,-4.281620589977132296e-02,1.227712395729279704e+00
4.217000993753823312e-01,7.471880907263568627e-02,1.602742192970433785e-05,3.897498502910993756e-01
3.211045507119890674e-01,2.355414574910168202e-01,6.953551890769981304e-06,2.880181885720005108e-01
3.185590137391952625e-01,5.942891022702098125e-01,-6.270673459553234488e-05,5.151147870260323058e-01
4.417161347974198904e-01,2.561124137886721698e-03,-5.623351528870503338e-03,4.405488389379208503e-01
4.413274430789477232e-01,3.471262156232035687e-03,-1.042770066280045496e-02,4.399729642230661431e-01
4.412570730975817757e-01,4.444491991295709647e-03,-1.614455865654990455e-02,4.399412856994269760e-01
4.388403021799940351e-01,4.100101618482484070e-03,-2.105459175611075137e-02,4.383243311972725986e-01
4.387185481866173187e-01,5.306262990044234920e-03,-2.609528508069201488e-02,4.384256569418947258e-01
4.372404580239032112e-01,5.925516650430354137e-03,-3.216319994518878483e-02,4.378662678928434415e-01
4.342267476914305480e-01,6.526535971462996827e-03,-3.702843471212412946e-02,4.357462363871599798e-01
4.322869443296203373e-01,7.824009143652506382e-03,-4.239856078920984511e-02,4.346767928274900550e-01
4.296190205778654958e-01,8.972603991452186845e-03,-4.780079288290096234e-02,4.331892848704052557e-01
4.268917888118609061e-01,9.901677957837367802e-03,-5.349112209631257803e-02,4.320782313367323990e-01
4.247708648565271528e-01,1.072573940198694349e-02,-5.862935396794617671e-02,4.316266337412113518e-01
4.227965522160949119e-01,1.380213051619151934e-02,-6.487693291511784088e-02,4.309744533618423690e-01
4.198323199490358038e-01,1.590486423650040379e-02,-7.116103896288385189e-02,4.301470050205137285e-01
4.160631249503347062e-01,1.832061888837569277e-02,-7.721032275983891191e-02,4.286093056575005500e-01
4.142694967969732245e-01,2.149229928693660585e-02,-8.332893872764780829e-02,4.289623141755878333e-01
4.116108583241581687e-01,2.471283865803155372e-02,-9.020248084275352130e-02,4.292686955786448322e-01
4.087942228219676455e-01,2.811329449156734633e-02,-9.690464901977793866e-02,4.296301369458150332e-01
4.068818748104198191e-01,3.244881903901176978e-02,-1.042816684455119686e-01,4.313084148282184671e-01
4.052367247267095185e-01,3.753589586431537589e-02,-1.124831914025668372e-01,4.340186955537158608e-01
