# Sxx,Syy,Sxy, Smises
1.269490504763121308e+00,1.270132665208032474e-01,-3.719743752448988194e-02,1.212702487753722247e+00
4.111673444651613857e-03,3.941685190549901741e-01,-1.899213291357564233e-03,3.921426476084713952e-01
5.673042660122302738e-01,3.019061611880863305e-01,1.752796630727453922e-04,4.916389929516428725e-01
3.169813660888418094e-01,2.596526702440091761e-01,1.243867407363778732e-05,2.925604859751103626e-01
9.713012859828175360e-02,3.893981439586808313e-01,1.436708121819091138e-05,3.510596604860553027e-01
1.252791097225886219e+00,1.136126673602081139e-01,-1.774612685782996080e-01,1.238764682580369758e+00
1.109139515811197407e+00,1.649482024541921166e-01,-2.677287781872517147e-01,1.135554446793156869e+00
9.895221538816384443e-01,2.364413484429309376e-01,-3.548143122512141256e-01,1.085713700951151717e+00
8.154407340384525193e-01,2.811650154885458885e-01,-3.966546016884470727e-01,9.933421209078943104e-01
6.817062671907528904e-01,3.230691666518007432e-01,-3.983549159012550467e-01,9.082503854079561068e-01
5.547469973463229342e-01,3.649557012451722926e-01,-3.920225417599484397e-01,8.363754152590374691e-01
4.302675575265753616e-01,3.761343574998121664e-01,-3.687705447920222590e-01,7.567984928414063228e-01
3.464343301199814262e-01,3.893583337671638334e-01,-3.393838766243279514e-01,6.944593658105808753e-01
2.780626669084734770e-01,3.943768654299064091e-01,-3.068915641986254550e-01,6.369754879702705930e-01
2.225679672076489868e-01,3.937201884007641706e-01,-2.766096454419681994e-01,5.886096097201453103e-01
1.842894291473241575e-01,3.955043933253368227e-01,-2.517318993813772998e-01,5.546222926121631147e-01
1.523046886998784266e-01,3.939994692538412169e-01,-2.278243179610107139e-01,5.235800731720516854e-01
1.250669738645413254e-01,3.852386406282582998e-01,-2.046028457056811023e-01,4.913826417347937348e-01
1.049702957658178448e-01,3.843947000983015672e-01,-1.864943345058071578e-01,4.719835097807830726e-01
8.482256642411369063e-02,3.784537846336049061e-01,-1.689361737084597859e-01,4.515960650343354144e-01
7.270731038974445615e-02,3.774426100199551048e-01,-1.546415426852092156e-01,4.382333396878135834e-01
6.024618013428718194e-02,3.739414224661534170e-01,-1.412918616828806040e-01,4.252333687431626430e-01
4.984105458711483860e-02,3.705769321741209654e-01,-1.295479118556609466e-01,4.143542357394324749e-01
4.715731125852480610e-02,3.751891183655197137e-01,-1.202446033743876930e-01,4.106994892028068556e-01
3.953936185856242458e-02,3.753350978292472329e-01,-1.095060562635842838e-01,4.044428459283130883e-01
3.153571066062680478e-02,3.733772277182507704e-01,-9.875661504273065827e-02,3.973524204644308111e-01
2.761614875186189921e-02,3.751498360222252915e-01,-9.049284510659055814e-02,3.945969114299011649e-01
2.345713862896215904e-02,3.770758722911316529e-01,-8.262342893930815779e-02,3.929010344041779512e-01
1.962110641256114424e-02,3.785353910633482699e-01,-7.467533492685873853e-02,3.911214183021383128e-01
1.655728149216577696e-02,3.804219366830270954e-01,-6.720621447808353133e-02,3.901874756857818816e-01
1.395302472488613686e-02,3.824287381533060248e-01,-6.007562527181817269e-02,3.897917793911806483e-01
1.174283635521809754e-02,3.844683472704618077e-01,-5.306526608638469783e-02,3.897266000252537221e-01
9.883281025166168465e-03,3.862624727458848772e-01,-4.619279294213970294e-02,3.897180505023482566e-01
8.017475953776284983e-03,3.878365363658103360e-01,-3.937403160764863658e-02,3.899011821624929208e-01
6.791058540533698520e-03,3.894126413211639881e-01,-3.307085539092901455e-02,3.902881551905640345e-01
5.919660721946731763e-03,3.919391197126390058e-01,-2.635557223081300485e-02,3.916822920361154314e-01
4.923474770893977726e-03,3.922991452317002303e-01,-1.965190457837876284e-02,3.913438092902759013e-01
3.813969207404609499e-03,3.930880316754956638e-01,-1.322752075644028844e-02,3.918653126714675694e-01
3.146057387766162776e-03,3.937431027187168198e-01,-6.850901555217643948e-03,3.923590126081172857e-01
5.701766398766121569e-01,3.024224415517298148e-01,3.538957538225005815e-04,4.940919934531023405e-01
5.751863766820812796e-01,3.002657317214677546e-01,-3.197695716902813987e-05,4.982871886410505935e-01
5.845692007960410219e-01,2.971393381205417739e-01,-4.975960503047333582e-04,5.062757886501525473e-01
5.945212592075918012e-01,2.908630041556941048e-01,-5.644818800320016219e-04,5.149111877480312405e-01
6.145088244250037635e-01,2.913548574912784295e-01,1.373607107960774323e-04,5.324177625853384610e-01
6.426737427848516759e-01,2.851648452460219252e-01,-1.027514469697998284e-04,5.577460012388550936e-01
6.719310128515518787e-01,2.689434081158799117e-01,-2.201829436526001797e-04,5.857564098046488255e-01
7.194969930168645389e-01,2.549562793517911596e-01,-8.227649020821508653e-04,6.318547157559952776e-01
7.848434709561140643e-01,2.300873776219765909e-01,-4.036603883420064251e-03,6.988460357475825280e-01
8.732447628773620796e-01,1.817608528424642655e-01,-1.388943846972638327e-02,7.984049474927923384e-01
9.412090630676007708e-01,8.274106224268161502e-02,-1.574058257939975336e-02,9.030986900282839125e-01
3.169577364491896754e-01,2.593713712617554124e-01,-8.642151058875372285e-05,2.924482425941065666e-01
3.177453672738357326e-01,2.591854376804895721e-01,-1.384740550788099238e-04,2.928895610413359551e-01
3.186927611353315704e-01,2.587139251441604171e-01,-2.740711923622168389e-04,2.933392937542858570e-01
3.202880365573765320e-01,2.582110465016656531e-01,-3.825647719373904791e-04,2.942038423665383484e-01
3.222799722988796689e-01,2.575200016598445107e-01,-5.105166914707908116e-04,2.952764377331649759e-01
3.246679385356491809e-01,2.564195780250215217e-01,-6.266768967506811464e-04,2.964965980947372737e-01
3.291749132413610002e-01,2.565816801888010645e-01,-8.883297052849563986e-04,2.995536632883837869e-01
3.302040496829888871e-01,2.540050697209966790e-01,-6.804718148168847382e-04,2.994681557942403538e-01
3.359440709170417039e-01,2.539024475800327751e-01,-7.611928394718418117e-04,3.033637883123581069e-01
3.393279366874735747e-01,2.519968350265276991e-01,-8.341611249187202634e-04,3.051858038523200256e-01
3.448912284351309254e-01,2.509745653748664540e-01,-1.130255773670432555e-03,3.088415422070479033e-01
3.497175505549077190e-01,2.487721177817399654e-01,-1.108546425585236724e-03,3.117589496715086894e-01
3.561732860380661947e-01,2.480187633500792466e-01,-1.415995925402643808e-03,3.162927028129858265e-01
3.629202647585879071e-01,2.462854533886538466e-01,-1.399390675376142954e-03,3.209229441097756763e-01
3.690169863194342481e-01,2.447899805838435749e-01,-1.720419979778419796e-03,3.252274425767199828e-01
3.758715061912143995e-01,2.424711088732556252e-01,-2.026162427663543222e-03,3.300696334217730343e-01
3.863847071605537309e-01,2.422149594469839018e-01,-1.655340462921656890e-03,3.382030348588953572e-01
3.930423808380980599e-01,2.389377608795960617e-01,-1.936900222126331514e-03,3.430337520539434304e-01
4.021018715474559135e-01,2.380833050853999044e-01,-2.021468970335051248e-03,3.502114956903973342e-01
4.115770249557951233e-01,2.377195791276722758e-01,-2.236464548254490491e-03,3.578845259885045094e-01
4.212013853804216779e-01,2.364786466027608558e-01,-2.317878058911222901e-03,3.657099143577842715e-01
4.315240785724197559e-01,2.353434456223480464e-01,-2.530149007530167228e-03,3.742491272226747823e-01
4.420899690935548576e-01,2.352661602607981628e-01,-2.486570629732218207e-03,3.831493788576907367e-01
4.532389410571477373e-01,2.355338577684163714e-01,-2.730427985286670942e-03,3.926461323873747800e-01
4.648642995617919271e-01,2.369764260065013728e-01,-2.452288847198980624e-03,4.026323439112802771e-01
4.750104191489946670e-01,2.389713983270136677e-01,-2.484266665424516435e-03,4.113962058370622676e-01
4.867598814836794907e-01,2.403281859441468438e-01,-2.800115253727138414e-03,4.215853671679699599e-01
4.973538126045644048e-01,2.437339284105960457e-01,-2.641757158688034287e-03,4.307737002850989816e-01
5.059843760497075849e-01,2.470014248916855837e-01,-3.114143627310099038e-03,4.382694656479290130e-01
5.203542903369803296e-01,2.525650308357856311e-01,-2.635808264403164194e-03,4.507274424131628709e-01
5.275817946284062643e-01,2.575789912826561556e-01,-2.293418918045963227e-03,4.569587285576708346e-01
5.329570666244266564e-01,2.633630288980705059e-01,-2.490805243584050949e-03,4.615850353388031291e-01
5.437358134457415115e-01,2.704821213422660131e-01,-1.884953733617044909e-03,4.709023844391546643e-01
5.493216395380422501e-01,2.766186718485996732e-01,-2.040872310599754248e-03,4.757436561980644685e-01
5.547777662090125350e-01,2.840218405127489243e-01,-1.481466883613927980e-03,4.805042744515990449e-01
5.601071715298615583e-01,2.898345072762184560e-01,-1.721625870440420978e-03,4.851748046961111838e-01
5.622208529424181922e-01,2.945265480197591379e-01,-9.656881073697489706e-04,4.870852138901803907e-01
5.661097910315283643e-01,2.987969692924149490e-01,-5.722914813116792600e-04,4.905191301730532638e-01
5.668236354519471387e-01,3.006766097395861537e-01,-3.450547268994088495e-04,4.911875461692696287e-01
9.756755567151864650e-02,3.893602353037101671e-01,-2.596579638502242136e-05,3.509015479359884893e-01
9.839510260571093792e-02,3.889463685065709386e-01,-3.302858934658281639e-05,3.502719789343390899e-01
1.002166530742261141e-01,3.883805155256237485e-01,-1.102638479226861640e-04,3.492286406961448431e-01
1.018848447466454421e-01,3.867132257631206160e-01,-1.438155401966096573e-04,3.471706866219340659e-01
1.049393922745641000e-01,3.855754759376355256e-01,-1.231270555224483760e-04,3.452806294239992857e-01
1.081488932950887272e-01,3.837094181962129591e-01,-2.724059678924777321e-04,3.426829065238591321e-01
1.115380870250619605e-01,3.814155196098470424e-01,-3.518090543109881805e-04,3.396712489251035305e-01
1.155991947845906587e-01,3.789680046219697784e-01,-2.557971683036848898e-04,3.364100510911560704e-01
1.206614668279798880e-01,3.763379449194052540e-01,-2.806058355608116901e-04,3.328365757021648497e-01
1.261186181579851684e-01,3.733223213568958587e-01,-3.300360695826141076e-04,3.289268808470049432e-01
1.315749757689521626e-01,3.699967842582050359e-01,-3.253672389669530138e-04,3.248501104789254801e-01
1.388517224771086134e-01,3.668874212878833196e-01,-4.514827339982380693e-04,3.208486276160502082e-01
1.432832159261199223e-01,3.606227735192830686e-01,-6.860520268000684955e-04,3.144981494746542650e-01
1.534476831881432246e-01,3.598830516276000369e-01,-8.497037881150487464e-04,3.127953769211607726e-01
1.584934153668059453e-01,3.535151571556327532e-01,-7.767821840074093029e-04,3.067003661288348892e-01
1.669134804260762328e-01,3.489447394933749003e-01,-5.276392998062491568e-04,3.022909119251318000e-01
1.738350540638096409e-01,3.434049903298688755e-01,-8.234179530742064771e-04,2.974085109683758388e-01
1.836783619208775253e-01,3.396832017297864992e-01,-1.347025158759632352e-03,2.945087563042982359e-01
1.941332799643192830e-01,3.361727094638783386e-01,-1.118667508004969960e-03,2.923033775142795943e-01
2.009749602110752209e-01,3.299264126906674144e-01,-8.641807048955394907e-04,2.879890018465259272e-01
2.096421510117371101e-01,3.243409347879886995e-01,-7.544071855591864134e-04,2.848737432977417883e-01
2.181700560554503121e-01,3.186240314992825340e-01,-7.935931045426666136e-04,2.821473256391575646e-01
2.265880088293196759e-01,3.132573699307739101e-01,-6.981788391687295502e-04,2.801667435984012688e-01
2.351495697983062849e-01,3.081358598430862239e-01,-6.750289861973076712e-04,2.789020982503184198e-01
2.430417013613097310e-01,3.036915966911754583e-01,-5.394526494257685309e-04,2.783684701613359236e-01
2.524586451495322015e-01,2.994155757959865438e-01,-5.264795597408391268e-04,2.789190482560096052e-01
2.596932611750992770e-01,2.929363113415790476e-01,-3.302165461618114528e-04,2.778111112287844353e-01
2.687185576905962714e-01,2.891813841689404585e-01,-4.032403739186339250e-04,2.795131831251045362e-01
