# Sxx,Syy,Sxy, Smises
5.473144870919784966e-01,7.994132843234814587e-03,-2.543394516812692505e-03,5.433793847679859734e-01
8.365139328565715515e-02,9.806863020126010966e-01,-2.167043003365489579e-02,9.423991859227172085e-01
4.601101218081804500e-01,1.212164838555959551e-01,2.377786489036655957e-05,4.130639547247563770e-01
3.414914127431386559e-01,2.859577074098840765e-01,1.921957049712097302e-05,3.173895004949073839e-01
2.661310321494312903e-01,4.903231833407355467e-01,8.280434108334729136e-05,4.251498042981157743e-01
5.483161299532791633e-01,6.301149662881802213e-03,-1.248482064951570922e-02,5.456215475002423876e-01
5.455277341529398694e-01,7.852892381100332053e-03,-2.320975647855007956e-02,5.431337629433121705e-01
5.442432496121247798e-01,9.946692335609625193e-03,-3.418255940244884633e-02,5.425786333602407030e-01
5.411990932769650264e-01,1.170049884190838170e-02,-4.551615335008404178e-02,5.412173514589075918e-01
5.375800098853432685e-01,1.390861718823724162e-02,-5.678777753169664960e-02,5.397992933728601450e-01
5.335134845715742147e-01,1.668932894020366126e-02,-6.816647172189856108e-02,5.384711630934061466e-01
5.287067130874838483e-01,2.011527388329887797e-02,-7.956604373663118956e-02,5.369288577802241447e-01
5.227623278452837585e-01,2.410336069706960418e-02,-9.084230985628687083e-02,5.348065727384950785e-01
5.164164713267516138e-01,2.879621266077326061e-02,-1.020851498596535983e-01,5.328306378737343030e-01
5.094481775382191380e-01,3.415436059515010447e-02,-1.134622578218011657e-01,5.309662334221986191e-01
5.023278307233394191e-01,4.107702535408319644e-02,-1.245187451451778143e-01,5.290568893512879178e-01
4.958221282570655641e-01,4.771956783276749825e-02,-1.368363708784648969e-01,5.297441830985294420e-01
4.907007157044503409e-01,5.563160628687023601e-02,-1.477709019358240672e-01,5.311236366110461127e-01
4.816991651150903109e-01,6.670621366396532748e-02,-1.608608050021316793e-01,5.310179591518898734e-01
4.725791220650480962e-01,7.585871726908589852e-02,-1.727869275857180087e-01,5.317915875820281579e-01
4.644900470526354685e-01,8.972683761601839281e-02,-1.858190961690253939e-01,5.345193127255579713e-01
4.515819426223481869e-01,1.004122497280029863e-01,-1.974664686172160344e-01,5.344562944593529430e-01
4.453122698477682828e-01,1.172146599776266729e-01,-2.117708198039760514e-01,5.425733206285719978e-01
4.347040508307751239e-01,1.357497059574514220e-01,-2.272506311900000242e-01,5.507387724921763983e-01
4.225807830615656568e-01,1.561188235476437813e-01,-2.411188994110823880e-01,5.580230833335191321e-01
4.133835198103850139e-01,1.853432061052252278e-01,-2.590546088760918853e-01,5.744110746906802012e-01
3.997571986120370680e-01,2.188006870245313429e-01,-2.736692060807060511e-01,5.872792452111403882e-01
3.829943666550248427e-01,2.528185185165894855e-01,-2.888923923707104047e-01,6.034486414977676683e-01
3.703810684009176124e-01,2.944799916512036986e-01,-3.059399062987165352e-01,6.289900366304973511e-01
3.493120342715794191e-01,3.450931701137334717e-01,-3.198581794145123336e-01,6.538277761731585702e-01
3.260405831709520807e-01,4.074953955107526449e-01,-3.349275878304708298e-01,6.899452080527329612e-01
3.030072704120238547e-01,4.912837395947378116e-01,-3.441844020412538341e-01,7.346422813899352589e-01
2.639163757837275637e-01,5.720153888037843304e-01,-3.389776969183848632e-01,7.685095101258181405e-01
2.265668496010539990e-01,6.489272436780822995e-01,-3.258677633684546326e-01,8.024855770128325183e-01
1.874240368945685464e-01,7.501081080852085581e-01,-3.003338478432150405e-01,8.531136584167930970e-01
1.411152760308913845e-01,8.387150035117841851e-01,-2.481944222061356897e-01,8.887082157018376671e-01
9.492454302123135013e-02,9.073859743155205937e-01,-1.786291202058356842e-01,9.175793502760800635e-01
6.827731825890254180e-02,9.809639746551184203e-01,-1.108645043971160649e-01,9.679087442870863978e-01
4.603656333855784544e-01,1.211831391570230287e-01,-7.367294876971044212e-05,4.133198921996009689e-01
4.606124125429125193e-01,1.205802143142939431e-01,-9.522692052272983170e-05,4.137181002288081166e-01
4.610938270356487179e-01,1.197869391014338425e-01,-1.807235351572622929e-04,4.143953521861623579e-01
4.620731691722386736e-01,1.186277505169694296e-01,-2.614364860040710621e-04,4.156557004006459222e-01
4.629571305120927516e-01,1.171254064813496837e-01,-3.368232715034407527e-04,4.169220116406578414e-01
4.637448827897580061e-01,1.150875165330955824e-01,-4.170468184886008071e-04,4.182507952107008542e-01
4.658636743447825967e-01,1.133385494269594368e-01,-4.717881674245481870e-04,4.208027382652145265e-01
4.662233183663662128e-01,1.092291763382386288e-01,-5.095535737034181511e-04,4.223396564754142712e-01
4.694743791391370324e-01,1.084136504604402418e-01,-7.409457291315167888e-04,4.257510164824443999e-01
4.707972839003826127e-01,1.038751216921381532e-01,-6.162876399543983693e-04,4.284123454201793635e-01
4.736553653959247323e-01,1.005424240390962592e-01,-7.396606106629451810e-04,4.322468818828322790e-01
4.757335929651346773e-01,9.627339706598261881e-02,-8.332646839379023078e-04,4.356519394597966333e-01
4.791393588809841897e-01,9.245040863221286320e-02,-8.549609134363047713e-04,4.402580682273872226e-01
4.819733084114293797e-01,8.625062188065414637e-02,-9.611791075299866991e-04,4.451625700924624618e-01
4.858701117307259731e-01,8.168255043826254391e-02,-1.105171492100467858e-03,4.506199716207871520e-01
4.887918619088974514e-01,7.584306849005480189e-02,-1.192087818774124333e-03,4.556341118335181517e-01
4.938912238010100264e-01,7.001136529650807405e-02,-1.284359357453740760e-03,4.628791225243862328e-01
4.971930277157138867e-01,6.295393747052452360e-02,-1.394837864039595631e-03,4.689026370074776962e-01
5.011520206812977163e-01,5.584109614006607658e-02,-1.422124995851583359e-03,4.757023912089687334e-01
5.083385617642187659e-01,4.991073226924497286e-02,-1.505906154060686298e-03,4.853188930732598716e-01
5.131190643613868785e-01,3.878844422057636798e-02,-1.948380881761672782e-03,4.948777788240679154e-01
5.197371274338539182e-01,3.059467882366839406e-02,-1.654173746562567510e-03,5.051432810513212246e-01
5.272922847876538865e-01,2.243482555342830517e-02,-2.111503067883735776e-03,5.164534247199203953e-01
5.306328673248430494e-01,7.223032774003441958e-03,-2.223020171376144209e-03,5.270725367084070356e-01
3.414150435988688170e-01,2.853988070710210545e-01,-7.251082864264307747e-05,3.171392134180546218e-01
3.421334869777057919e-01,2.847155442757955957e-01,-9.574352371978021143e-05,3.173445597523615880e-01
3.429708199992720363e-01,2.834851391900751194e-01,-1.237362982319517709e-04,3.174361712202564689e-01
3.441515070886314587e-01,2.815847090139910747e-01,-2.221299020002135620e-04,3.175256749094026998e-01
3.459135405343599645e-01,2.793720370694758870e-01,-2.261672399513037180e-04,3.179095714306622300e-01
3.476910330791401216e-01,2.764691671024310793e-01,-3.155291458525357178e-04,3.181174361670601747e-01
3.504583228974542108e-01,2.735306315299487756e-01,-3.640750821071508307e-04,3.190287663177064359e-01
3.527294515925760710e-01,2.698016976168945424e-01,-4.546175161287838509e-04,3.194442631349987405e-01
3.551096848742930079e-01,2.655634483214880381e-01,-5.626771292114361809e-04,3.198806507824447087e-01
3.595949725487674886e-01,2.620951316145915810e-01,-4.088512359424578517e-04,3.221099379378159488e-01
3.621667035115655464e-01,2.556247984791497063e-01,-3.813119876811231490e-04,3.223823883611418029e-01
3.664892246417837396e-01,2.511843466931035218e-01,-6.600216900721031944e-04,3.245810811282176522e-01
3.701984705404977039e-01,2.453953202752092722e-01,-6.005177130908221327e-04,3.262236662542885024e-01
3.743142646986518662e-01,2.397647535946113573e-01,-6.582037578526755799e-04,3.284086449491201432e-01
3.787662523124832870e-01,2.338835659138443768e-01,-6.545895547555419768e-04,3.310279142598225866e-01
3.831674854575077838e-01,2.276694507289789005e-01,-6.481649811895034627e-04,3.337909976456496786e-01
3.877898874729380219e-01,2.214954689987214953e-01,-6.406393043466092514e-04,3.369699806668429165e-01
3.923888089136898794e-01,2.151152203077132397e-01,-6.820651303388368739e-04,3.403470668766174212e-01
3.971327892316373065e-01,2.083103862389918681e-01,-6.733990184144429117e-04,3.440670646598443794e-01
4.018780241232764450e-01,2.016823369016318146e-01,-6.462553781879233454e-04,3.480391718970450299e-01
4.065540613283635807e-01,1.953277174390523341e-01,-6.528954238067844959e-04,3.521776880851406610e-01
4.112626403129714392e-01,1.888604178944912615e-01,-6.256727319947754176e-04,3.565601731120308648e-01
4.159003762073795185e-01,1.821496416793797757e-01,-7.696886025916791722e-04,3.611056461127515327e-01
4.209172706342431125e-01,1.768652909399140716e-01,-6.415571379557433564e-04,3.660713852676346081e-01
4.240789331041262544e-01,1.701474081150173845e-01,-6.392827149818646436e-04,3.696462859739190754e-01
4.298029415999704561e-01,1.654268427192267521e-01,-5.140375126914692059e-04,3.754949506763219369e-01
4.331467409898063781e-01,1.586773050291523379e-01,-4.514017429777810071e-04,3.795584804869771567e-01
4.368584904930102875e-01,1.537415678857658174e-01,-5.544351208532183155e-04,3.838221246021528144e-01
4.406328948796792155e-01,1.489437029380954458e-01,-4.593250522057750872e-04,3.882173523089312295e-01
4.436901419705409078e-01,1.441158335425826165e-01,-4.498830049024819464e-04,3.920307999366313689e-01
4.469137134985299298e-01,1.401589546703942146e-01,-4.429332199968280558e-04,3.959015402155413033e-01
4.494984757201628267e-01,1.362432454456748709e-01,-3.478454092846041475e-04,3.992121408957994277e-01
4.520866822434351784e-01,1.328900565997568339e-01,-3.091230001905690924e-04,4.024482541703027771e-01
4.540223933197998774e-01,1.296723495397123505e-01,-2.245801225229994988e-04,4.050645043622815855e-01
4.558464180149958134e-01,1.272171242723891538e-01,-2.759006548710414932e-04,4.074173676698327751e-01
4.575604116306013491e-01,1.253078850021009660e-01,-2.077970167828160658e-04,4.095458441150932605e-01
4.587546977075205867e-01,1.235903374045596304e-01,-1.431517617587988063e-04,4.111360574921311128e-01
4.595578782297827236e-01,1.223811333535375356e-01,-9.738488375863357696e-05,4.122249382510659310e-01
