# Sxx,Syy,Sxy, Smises
1.591797815337951949e+00,2.101903020609468820e-01,-6.609887884172882533e-02,1.502174081031126818e+00
1.956871276541536416e-03,3.273760512055679528e-01,-1.151304265445438329e-03,3.264081064579229530e-01
7.095984993975748001e-01,3.601455578260518431e-01,-2.580085042762434843e-04,6.145537449859238555e-01
2.536627127777738577e-01,2.420485844817433507e-01,1.432010742093530451e-05,2.480596483810542652e-01
6.255760983513374007e-02,3.497559375380975832e-01,2.660109698305506890e-05,3.230522822025311269e-01
1.514426978597282591e+00,2.129863911566525769e-01,-3.043611083876969214e-01,1.514663986624255498e+00
1.229942733158318813e+00,3.123012718315034131e-01,-4.235167843671472365e-01,1.328261243623910737e+00
9.367203747621408727e-01,3.905526602944771608e-01,-4.499047625621103719e-01,1.127555183913599768e+00
6.795749240673996105e-01,4.304746193024000522e-01,-4.547194688810014540e-01,9.873702976582023894e-01
5.000866138460935417e-01,4.460676943931313199e-01,-4.165164759441380982e-01,8.639724826016347281e-01
3.543820976365718578e-01,4.589181042129357180e-01,-3.574662201111142301e-01,7.462616381986250103e-01
2.531284659530993464e-01,4.417814134572265461e-01,-3.084773381647603063e-01,6.579454312940111738e-01
1.920232749436941722e-01,4.255719048872967369e-01,-2.635111291086789098e-01,5.870085339596107232e-01
1.461110494433387197e-01,3.967522688183022783e-01,-2.241597978778702982e-01,5.210890098340007492e-01
1.176237666912621493e-01,3.839782460649673324e-01,-1.955525758287802451e-01,4.804498996273345313e-01
9.254143841745200716e-02,3.703565178273720004e-01,-1.730020624536408314e-01,4.486019216122509867e-01
7.647039601955837873e-02,3.603823173716390604e-01,-1.532230051370891133e-01,4.226067031217166647e-01
6.158754362720624681e-02,3.458524173869154117e-01,-1.351188364041024659e-01,3.960782992687311710e-01
5.119125809240267916e-02,3.397588356497677209e-01,-1.221544561197250855e-01,3.813516258152899185e-01
4.199372210789330262e-02,3.319501309461913019e-01,-1.108202488524853840e-01,3.672300685486085681e-01
3.559858430815220770e-02,3.261515161612397184e-01,-1.004647163628457490e-01,3.554026113513005791e-01
3.041827458777349863e-02,3.214324346322311454e-01,-9.179727951746256831e-02,3.460446257130175840e-01
2.643238593008035917e-02,3.199343282761046847e-01,-8.508716186573414553e-02,3.410564368858340911e-01
2.180572549407447727e-02,3.155629207979295803e-01,-7.685942806377953074e-02,3.330112359466106398e-01
1.937212986588759955e-02,3.150824332435692710e-01,-7.128914370899955277e-02,3.298406090390659795e-01
1.640906338991193064e-02,3.140887639219204774e-01,-6.556229658587713061e-02,3.265920249285394483e-01
1.439734546855946790e-02,3.139493980508126780e-01,-6.054232977799036547e-02,3.244188515398969130e-01
1.243683642810287232e-02,3.140745746997832821e-01,-5.574187138821116300e-02,3.228202099296163530e-01
1.083101054530308423e-02,3.145508385578048016e-01,-5.120712702084598278e-02,3.217439151725861590e-01
9.311438232867862153e-03,3.155528969878283463e-01,-4.689865281668542663e-02,3.214351151911234994e-01
8.148304140377338536e-03,3.164899392846258763e-01,-4.275136286100531674e-02,3.211486530027949926e-01
7.228619684732148949e-03,3.174419967201757564e-01,-3.921936878869550919e-02,3.211564780952387288e-01
6.584767446553424497e-03,3.194195327919424621e-01,-3.514240021138607950e-02,3.219842521426753978e-01
5.622287869985100571e-03,3.203790629896455244e-01,-3.151058552579841243e-02,3.222605185310610243e-01
4.825431156510137133e-03,3.213187836619607607e-01,-2.790254064952665813e-02,3.225743312386917805e-01
3.773118992479595254e-03,3.224357540840201986e-01,-2.413359545392789254e-02,3.232796850401750688e-01
3.504916888097178544e-03,3.236418932129484505e-01,-2.079538024694288154e-02,3.239125886199562543e-01
2.835093397412038942e-03,3.245844763771239538e-01,-1.731128308831988635e-02,3.245642221813679895e-01
2.595338168203253394e-03,3.254802337727973338e-01,-1.380580198815697587e-02,3.250710500627585486e-01
2.301349628289708731e-03,3.260768659632841127e-01,-1.036796380981614557e-02,3.254281577751926280e-01
1.908925669678633195e-03,3.265087307618306789e-01,-6.883736391163685318e-03,3.257767208434292350e-01
1.535518793042484585e-03,3.268686172012564839e-01,-3.488557301300508184e-03,3.261595436601393838e-01
7.193020881282239376e-01,3.620888303907973671e-01,2.012240584091991996e-04,6.229387488066199241e-01
7.406920332664617135e-01,3.563445127189642792e-01,2.943017001772775532e-04,6.416111112353317658e-01
7.852289962799152701e-01,3.469124756207491722e-01,-2.663735327006549851e-03,6.815778706568279555e-01
8.267069136915843330e-01,3.011120456750847607e-01,-5.834836975337581028e-03,7.247644522244980347e-01
9.654269771963608360e-01,2.819418477296142811e-01,-1.532486851025519070e-02,8.602620198436656818e-01
1.030606922376939627e+00,1.448344790357369849e-01,-2.520843753546161276e-02,9.673503160927120481e-01
2.537590698506626552e-01,2.418821728169839591e-01,-1.363176481880445825e-04,2.480340936608258218e-01
2.543427446841137751e-01,2.415119357158710400e-01,-2.992769493151240271e-04,2.481767655579478482e-01
2.563075268896829462e-01,2.420000502453483193e-01,-3.217337309393481556e-04,2.494623194217381046e-01
2.565947216302152389e-01,2.405353647271228912e-01,-4.112860435371158804e-04,2.489548460406989516e-01
2.595398280748303366e-01,2.401247471058998995e-01,-4.748590790359341575e-04,2.503987967679603410e-01
2.618480613519176825e-01,2.392583829876893109e-01,-5.984644936125349014e-04,2.513179496084009257e-01
2.649319514003107834e-01,2.381859838996017720e-01,-8.584612777143202150e-04,2.526274631855561226e-01
2.690151734275620377e-01,2.374777946354372504e-01,-8.683185953585555086e-04,2.547194501832834024e-01
2.720743638403372855e-01,2.355106929100816704e-01,-9.352118160536626069e-04,2.557654156574460935e-01
2.784599387742958676e-01,2.343698203115818501e-01,-1.172907362346668455e-03,2.592502102132299147e-01
2.828695875014356487e-01,2.324251272516262012e-01,-1.124567869456687998e-03,2.613320443405474092e-01
2.892109967846323570e-01,2.308844214064427747e-01,-1.192940805520442422e-03,2.649161610314562654e-01
2.949490857322189519e-01,2.285392463599124901e-01,-1.427446618417419887e-03,2.679996666878288747e-01
3.029493473538908410e-01,2.271806969276252697e-01,-2.071579488064203244e-03,2.730897408870752163e-01
3.111538961404224368e-01,2.255528530699005552e-01,-1.894513052625919911e-03,2.784240563100984223e-01
3.187510804000129316e-01,2.230373700227246125e-01,-2.184821163717676987e-03,2.833175556668888206e-01
3.308483226400165123e-01,2.211985630122239310e-01,-2.164260822390282057e-03,2.919251537708441591e-01
3.400330038736783522e-01,2.176486484410103395e-01,-2.434352909790352300e-03,2.983344304557902782e-01
3.517770131830140756e-01,2.158681184141130749e-01,-2.836985791063117122e-03,3.072992272681371317e-01
3.646822886434845645e-01,2.148073028017503106e-01,-2.753255537612571240e-03,3.175242847914195865e-01
3.786654420022537160e-01,2.124863627760196494e-01,-3.299548187880644440e-03,3.287999238248758282e-01
3.915070924323664769e-01,2.084624998738674739e-01,-3.641312697978811314e-03,3.393518049844448936e-01
4.152930282864480960e-01,2.125282261413262430e-01,-4.180687183040585064e-03,3.597603230700908705e-01
4.217619747060781243e-01,2.032184685525145473e-01,-5.131076939476654497e-03,3.654450307871524029e-01
4.467944947055552674e-01,2.082458074003052939e-01,-5.036492293889331326e-03,3.873301631307674575e-01
4.654494925172510955e-01,2.064991354032297832e-01,-4.708695889758526126e-03,4.040256435909858057e-01
4.855987682810137818e-01,2.052665031337702339e-01,-5.053251139768532608e-03,4.223031446898529162e-01
5.098878566239023469e-01,2.118451553209464433e-01,-5.785954759258977141e-03,4.437872866589878118e-01
5.285602827897373235e-01,2.134454244238060405e-01,-6.290589262832993293e-03,4.606895509954879731e-01
5.606056168788635663e-01,2.222692114197543367e-01,-6.162209985288723962e-03,4.890713752979712892e-01
5.791726186779664332e-01,2.250605070987434508e-01,-8.096066973622681462e-03,5.059060285525273093e-01
6.140286352400490255e-01,2.421775140138165971e-01,-8.577954767398733582e-03,5.359085077668691577e-01
6.258471397239918632e-01,2.512632187289134400e-01,-9.783674565039160442e-03,5.457587759178638143e-01
6.417069774694064144e-01,2.668699314737776329e-01,-6.905542172471922785e-03,5.584784397739288586e-01
6.695135764169315440e-01,2.880069689017172863e-01,-4.997715817408801033e-03,5.817618059397945407e-01
6.829160326577293771e-01,3.061375983535494782e-01,-4.910360169767882810e-03,5.925374229385610425e-01
6.973175121033923229e-01,3.281510530401089976e-01,-3.375391972085153413e-03,6.042710734515228665e-01
7.036126679822051200e-01,3.458273212914267369e-01,-1.819467406050277345e-03,6.093839265082117151e-01
7.088322408204890124e-01,3.554286630014059090e-01,-1.761978332745645255e-03,6.138751486787692446e-01
6.297025643270731665e-02,3.498167991600776849e-01,-2.991245302151314617e-05,3.229690314975858789e-01
6.325787773961136229e-02,3.491600813003161718e-01,-4.215399224348265108e-05,3.222222851793339893e-01
6.496057933819285313e-02,3.491935222998104882e-01,-3.411710520805192492e-05,3.216709232527749651e-01
6.595158780545488930e-02,3.479914640190591157e-01,-8.672765763998905404e-05,3.201516889451729297e-01
6.827962898108104473e-02,3.471555477066575746e-01,-8.302543396861203470e-05,3.185521161769875875e-01
7.050346080662825421e-02,3.459433680685721768e-01,-2.074535369703343207e-04,3.166346101033710725e-01
7.309142320749199839e-02,3.443763135895082095e-01,-1.769663917675020650e-04,3.142714441054114127e-01
7.669597424425911303e-02,3.428315195161453222e-01,-1.967947387827944077e-04,3.116440951351434618e-01
8.019469842775137081e-02,3.408267836764105607e-01,-2.535002771179319363e-04,3.086450676444806307e-01
8.416124954729192753e-02,3.386145621887319823e-01,-2.422162310318056247e-04,3.053602609853204863e-01
8.870932054646230025e-02,3.362801902926987330e-01,-2.986846269205454402e-04,3.018655170411608801e-01
9.354158240022478199e-02,3.337215431924400177e-01,-3.008112099685083499e-04,2.981669436063763001e-01
9.910397046653772468e-02,3.310327598705996577e-01,-3.754812447128830872e-04,2.942754613803221786e-01
1.045467086656030331e-01,3.278992072686386372e-01,-3.752577350339881450e-04,2.901164317671762749e-01
1.104964954935159227e-01,3.246464136268445433e-01,-4.160527770097368055e-04,2.858898349304428432e-01
1.168368400711340960e-01,3.211436827352047718e-01,-4.395544138086652716e-04,2.815373486470268971e-01
1.234904623870556883e-01,3.174976548212550265e-01,-4.629686406024181335e-04,2.772135745896466830e-01
1.304092358503310123e-01,3.136000945433564668e-01,-5.038605759101026649e-04,2.728662694931687227e-01
1.375928194440314556e-01,3.096255389420901061e-01,-5.005808882855881329e-04,2.686973375314590240e-01
1.450216700327870423e-01,3.058084018372581037e-01,-2.605921999111468013e-04,2.649555094610105410e-01
1.521582418170594475e-01,3.008620905659826761e-01,-4.430732277810812600e-04,2.605610682821264956e-01
