# Sxx,Syy,Sxy,Smises,Exx,Eyy,Exy,Ux,Uy
4.586834550546852185e+00,7.937230172053677535e-01,-1.358448055899365015e+00,4.854329472232015164e+00,1.620847579304398600e-01,-2.757081873663436156e-02,-6.792240279496825073e-02,1.980081623932918727e-02,1.563645730949006149e-02
4.628526903336705800e+00,6.538635055233803506e-01,-1.198719376247997292e+00,4.809902117644303310e+00,1.653964650560842409e-01,-3.333670483458206490e-02,-5.993596881239986879e-02,1.815593862235483080e-02,1.653987961594792153e-02
4.630673115720806976e+00,6.609952232205351663e-01,-1.278344837401617085e+00,4.870491961796744818e+00,1.653878015492735720e-01,-3.309609307574001846e-02,-6.391724187008085423e-02,1.883796166046533549e-02,1.630247516099506827e-02
4.534416257122256155e+00,9.387975222499478356e-01,-1.370681337748635542e+00,4.777203661406760560e+00,1.583056406139602412e-01,-2.147529612965515255e-02,-6.853406688743177155e-02,2.019822712191178884e-02,1.516457603650159768e-02
4.582743938405156925e+00,7.931139057518539204e-01,-1.286271836278536806e+00,4.791598839515584629e+00,1.619389738682951996e-01,-2.754252776436993955e-02,-6.431359181392684587e-02,1.919539026810896873e-02,1.587326192907455649e-02
4.637308444213839032e+00,6.551711184044117786e-01,-1.353664015582889402e+00,4.938913548811969534e+00,1.657094276779638164e-01,-3.339743861250754620e-02,-6.768320077914447008e-02,1.945833505776776995e-02,1.609514481144264098e-02
3.976071975491994870e+00,2.162664779526805248e+00,-2.073182232601687713e-03,3.447806458444578226e+00,1.220693893368647309e-01,3.139902953860526647e-02,-1.036591116300843857e-04,7.067660530728794854e-02,3.969869617440579786e-04
3.973540500391776309e+00,2.172208538986917681e+00,-4.151355552027558016e-04,3.446179907833110345e+00,1.218551620273551350e-01,3.178856395711221472e-02,-2.075677776013779008e-05,6.871160885613203373e-02,8.252198508731134236e-05
3.975391486243415429e+00,2.165656285521222024e+00,-4.984018492442798126e-04,3.447386517571943365e+00,1.220064771651128144e-01,3.151971712900312333e-02,-2.492009246221399063e-05,7.009540441069234129e-02,9.659153728622581561e-05
3.975001343890456784e+00,2.165786509406979476e+00,-3.795802758526298226e-03,3.447072065847098798e+00,1.219902190283048971e-01,3.152947730413101224e-02,-1.897901379263149113e-04,6.995888485171589122e-02,7.302883180524599640e-04
3.974339049649985078e+00,2.168771942170340861e+00,-2.067242002986857674e-03,3.446668017032353148e+00,1.219280650847451852e-01,3.164970971076296047e-02,-1.033621001493428837e-04,6.938369151335818663e-02,4.001558409306222490e-04
3.977260667103176495e+00,2.159097958824474972e+00,-4.278877711082294116e-04,3.448624591209445533e+00,1.221585505310631703e-01,3.125041511712811637e-02,-2.139438855541147058e-05,7.148736257415058692e-02,8.112501827097691486e-05
4.098185695138922391e+00,1.973452592315933618e+00,-3.924978729393235888e-02,3.550589750943305312e+00,1.290138061637604028e-01,2.277715102261099189e-02,-1.962489364696617944e-03,2.007553193924666024e-02,2.371903040821808639e-02
4.094964088942436575e+00,1.993331524301726887e+00,-3.951872330050121285e-02,3.547416755133889321e+00,1.286445092815697855e-01,2.356288104953430107e-02,-1.975936165025060642e-03,2.972984444142574498e-02,2.499287149459296364e-02
4.099455428310625038e+00,1.983349825386084619e+00,-3.473305255032727024e-02,3.551362595605374040e+00,1.289377057443223673e-01,2.313242559809536303e-02,-1.736652627516363512e-03,2.294427660471842073e-02,2.468941513054141029e-02
