# Sxx,Syy,Sxy, Smises
4.734459348304819182e-01,5.201060376562299109e-03,-2.764687640482751951e-03,4.708912972626554949e-01
1.244012659106814994e-01,1.152827238384598774e+00,-3.357333287215681639e-02,1.097476493930833685e+00
4.364055848541795735e-01,8.939678883079518745e-02,1.873098675789185966e-05,3.992848149929285051e-01
3.277875145572307081e-01,2.576225256750823700e-01,3.401887437292208714e-05,2.989457752196458817e-01
2.999185657360741719e-01,5.421514174210698700e-01,1.925589471085534308e-04,4.704021058594406446e-01
4.740558485654149390e-01,3.545616874116717075e-03,-7.701317390727761836e-03,4.724813535059395053e-01
4.709058586398827684e-01,4.130060800780144953e-03,-1.375895179802149454e-02,4.694597336723330683e-01
4.709357125819866874e-01,5.566688844800121543e-03,-2.031869783403967081e-02,4.694980609938270155e-01
4.699160338681224180e-01,5.953887641091305631e-03,-2.710347057426001904e-02,4.693213129077992707e-01
4.681068014499265018e-01,6.848931443563821032e-03,-3.392209411621770893e-02,4.684196616730468277e-01
4.660066724884352474e-01,8.049765285838327358e-03,-4.072576579484234183e-02,4.673879942707808155e-01
4.635276060187739078e-01,9.435570588636959383e-03,-4.760516453689277172e-02,4.662316797035682692e-01
4.607195735555281724e-01,1.112654531658010572e-02,-5.452374927669179777e-02,4.649501327669788298e-01
4.575960664287531676e-01,1.306978063001732436e-02,-6.147157390244734759e-02,4.635952568410662278e-01
4.542248749067950842e-01,1.524274973003360636e-02,-6.855070298155584163e-02,4.623056769626157636e-01
4.507842245254546909e-01,1.762645900064398197e-02,-7.574234760612609529e-02,4.612830900313207860e-01
4.472610821672510228e-01,2.034715578916331674e-02,-8.304116863696980877e-02,4.604818112788203188e-01
4.428000594873642282e-01,2.337878055788418508e-02,-9.041627365883520007e-02,4.591205095262702041e-01
4.394469062530773629e-01,2.696955763471861611e-02,-9.816073235986395862e-02,4.592339707829732887e-01
4.370590248329633831e-01,3.068998537838047228e-02,-1.067895416491832228e-01,4.612603927563921347e-01
4.329021823641297506e-01,3.668456524761916360e-02,-1.155661268868821423e-01,4.614496912114735006e-01
4.314004298464608200e-01,4.385840461679777619e-02,-1.255391508044750026e-01,4.651769459864724121e-01
4.264353058037307354e-01,5.058423655761355719e-02,-1.345650851723788899e-01,4.660023788363021890e-01
4.233246832129696213e-01,5.705981217271534345e-02,-1.448008880358385986e-01,4.703261359931454888e-01
4.219024696534202645e-01,6.649835735596670849e-02,-1.555306349667126276e-01,4.763793021047046383e-01
4.193923197670179626e-01,7.801491203205146441e-02,-1.680589116619606582e-01,4.837238704182330595e-01
4.164543373425444450e-01,9.116128429210977602e-02,-1.820949497719887844e-01,4.932096864432288785e-01
4.161138329663559010e-01,1.074376129172020106e-01,-1.976378492192253644e-01,5.071187672247695621e-01
4.135509387581952079e-01,1.274199145408722866e-01,-2.149140710905391993e-01,5.226181800824086787e-01
4.116033289658713179e-01,1.526823545015366657e-01,-2.345794959157539161e-01,5.431088805359456373e-01
4.097676787901676221e-01,1.852269984373470790e-01,-2.581807363815873391e-01,5.712183752715465079e-01
4.060533639183273591e-01,2.258210422881195834e-01,-2.813280742781285593e-01,6.013447761109836920e-01
4.042854862191044840e-01,2.864903029079337582e-01,-3.123098111114639419e-01,6.498552384715688968e-01
3.836226576689800716e-01,3.549855487309607760e-01,-3.365688432721227752e-01,6.905333753202553826e-01
3.734689540195430535e-01,4.600851924271092130e-01,-3.636672876512641595e-01,7.590069806361406934e-01
3.306443268377643463e-01,5.693628675566234643e-01,-3.732019420627832873e-01,8.142986015160038615e-01
3.013390342719021731e-01,7.011050633750592898e-01,-3.797078451134123234e-01,8.964470668519702867e-01
2.468695643381530469e-01,8.762205514819275676e-01,-3.545919012354228350e-01,9.947869621645524241e-01
1.749161498198655851e-01,1.021892410406684881e+00,-2.859780108779271801e-01,1.068393438801080730e+00
1.106540374941343274e-01,1.161508384836947849e+00,-1.681189440755900266e-01,1.147872985031908266e+00
4.366142958146020936e-01,8.941632437423283064e-02,-7.000832862366149754e-05,3.994832807224745208e-01
4.365564397646038430e-01,8.870018283566469264e-02,-9.765501590039486453e-05,3.996581540758623596e-01
4.371651088927873130e-01,8.855430689852070159e-02,-1.922376357862009449e-04,4.003029544622780933e-01
4.369902995946153834e-01,8.703620162692447815e-02,-2.039075788000750591e-04,4.006269726863249669e-01
4.379823290080997467e-01,8.663356431100367738e-02,-3.039533073697914928e-04,4.017339939365611179e-01
4.382672603404001999e-01,8.480003764368233832e-02,-2.908313741655498019e-04,4.026219212169839246e-01
4.391155287350572700e-01,8.316760430719083441e-02,-3.898791181923940080e-04,4.040044151499667113e-01
4.398244073959146072e-01,8.140212668224379444e-02,-4.378073479089718322e-04,4.053020459689243848e-01
4.402730222308610664e-01,7.897058867516140723e-02,-4.790565814527364386e-04,4.065817958569456492e-01
4.419373955256367115e-01,7.708586251212265483e-02,-5.141419736756616590e-04,4.088820850546932562e-01
4.417912107035162350e-01,7.301345601205047608e-02,-5.242275310192933638e-04,4.101884444106190242e-01
4.439962707326887137e-01,7.212112066234301067e-02,-7.596907023959895014e-04,4.126916127629378650e-01
4.445884465496015570e-01,6.782148779824720419e-02,-6.723534055116547371e-04,4.148582255264513519e-01
4.460284639611338253e-01,6.490230108782285567e-02,-8.759711919778137654e-04,4.173819925019115473e-01
4.460323576025400638e-01,5.993556280089974014e-02,-1.063529460553925415e-03,4.192938451982818893e-01
4.494508558993772773e-01,5.841461826070373786e-02,-9.395865325804411868e-04,4.232806253414801434e-01
4.499160963795693635e-01,5.308864077735706705e-02,-8.806238417821692262e-04,4.258635814852259061e-01
4.512823936599148489e-01,4.902784148423307981e-02,-9.176175099817361147e-04,4.288783655918373960e-01
4.529047053871566031e-01,4.454995183467491682e-02,-1.086312208744571843e-03,4.323586795500329871e-01
4.545688731917406633e-01,3.980764077730044453e-02,-9.173395993235232979e-04,4.360329332313395700e-01
4.555799942225767785e-01,3.487521702696506215e-02,-1.096588852527909932e-03,4.391862568981406700e-01
4.586030932557065287e-01,3.090804616302755825e-02,-9.668421837775041574e-04,4.439598892196101043e-01
4.598726123063544557e-01,2.366734982631215831e-02,-1.514920035071923342e-03,4.485151970161269097e-01
4.607152409561236506e-01,1.720933156948759729e-02,-1.500357606121070341e-03,4.523636216810941191e-01
4.654453456429211711e-01,1.356777202318267678e-02,-2.396860009246128392e-03,4.588307233535136587e-01
4.682570951859466590e-01,6.374551356224307866e-03,-2.330308597224778865e-03,4.651200965452573222e-01
3.276678724870206727e-01,2.570476201684191997e-01,-4.893994766451046328e-05,2.986862468399508752e-01
3.288457296054023149e-01,2.566850956084257840e-01,-1.360742718878825137e-04,2.993610031244103853e-01
3.289378896753253900e-01,2.543041810051528961e-01,-1.563275332574970476e-04,2.986980823845444277e-01
3.309907170656117281e-01,2.530116308380152002e-01,-2.743885625719371985e-04,2.997089669548698154e-01
3.325468767387260161e-01,2.501293414695490713e-01,-1.452884331825697660e-04,2.999540710382930242e-01
3.346378991300241190e-01,2.468770009949210198e-01,-2.648238120123172718e-04,3.005271811216007061e-01
3.367951231943354662e-01,2.430234502033930821e-01,-1.982343342971514704e-04,3.010686921558572426e-01
3.400084426678119387e-01,2.392288341383684291e-01,-3.138783339993693597e-04,3.024841291552277101e-01
3.427497317558427792e-01,2.339808760967305723e-01,-3.665993476082796219e-04,3.033610879212910727e-01
