# Sxx,Syy,Sxy, Smises
6.868719504183308233e-01,1.773757716381143754e-02,-5.582492134027927308e-03,6.782460809678156899e-01
4.096876295445184279e-02,7.509432515773515338e-01,-1.148080841605412725e-02,7.315903344407470588e-01
4.845268162483468699e-01,1.709824737670841976e-01,2.851977482633589350e-05,4.256238371975561985e-01
3.573713671074273401e-01,2.993977084583042680e-01,3.220843595524336856e-05,3.322004162999953603e-01
2.181884355404841158e-01,4.576934170723744311e-01,8.400234467590829792e-05,3.965174245553056420e-01
6.947576970269078167e-01,1.466834507397931503e-02,-2.824173712809708095e-02,6.892787965914703996e-01
6.839889623517532158e-01,2.010584922699835270e-02,-5.174570468837925985e-02,6.800925089304266091e-01
6.720267764725423865e-01,2.453940910722058472e-02,-7.223005334957065260e-02,6.718501117936850342e-01
6.694042064545172588e-01,3.256903668094494886e-02,-9.576422174487780881e-02,6.744429124204190940e-01
6.539160407631398053e-01,3.861633787278623275e-02,-1.188253646572039468e-01,6.679850065721939512e-01
6.394803859699054183e-01,4.847459761006464585e-02,-1.404194451748977113e-01,6.629021481440041663e-01
6.233301938525519503e-01,6.031266363551335968e-02,-1.617374360448922133e-01,6.580732773046700235e-01
6.052565315964903991e-01,7.412722326785889382e-02,-1.838768703338407307e-01,6.545200062251249618e-01
5.812342015860375577e-01,8.811375830805179277e-02,-2.009787397538642661e-01,6.446393278700557339e-01
5.591786469084389921e-01,1.063909470293890047e-01,-2.185234017132486328e-01,6.385653281019502137e-01
5.346778185332080602e-01,1.233413580144600702e-01,-2.330762147471824308e-01,6.309668276801962961e-01
5.131610732482261295e-01,1.433736806640261430e-01,-2.470728590123095758e-01,6.272571247430125396e-01
4.896586325669105566e-01,1.683135213381707351e-01,-2.611399062554942696e-01,6.247087330340167499e-01
4.562854234177753376e-01,1.860048813002173340e-01,-2.700655516417058699e-01,6.137826113697100183e-01
4.326456859152376655e-01,2.098139669308627664e-01,-2.805953385007229905e-01,6.137021383276559661e-01
4.062299429470871415e-01,2.371443788207797665e-01,-2.898010893846620917e-01,6.139047887906642353e-01
3.788637336567457492e-01,2.692789461863682177e-01,-2.990590538110822205e-01,6.183347035315004403e-01
